Country,Cases,Deaths
Afghanistan,234174,7996
Albania,334863,3605
Algeria,272010,6881
Andorra,48015,165
Angola,107327,1937
Anguilla,3904,12
Antigua and Barbuda,9106,146
Argentina,10128845,130841
Armenia,451831,8777
Aruba,44224,292
Australia,11853144,24414
Austria,6081287,22542
Azerbaijan,835234,10400
Bahamas,38084,844
Bahrain,729549,1574
Bangladesh,2049377,29493
Barbados,110578,648
Belarus,994037,7118
Belgium,4861695,34376
Belize,71409,688
Benin,28036,163
Bermuda,18860,165
Bhutan,62697,21
Bolivia,1212131,22407
Bosnia,403615,16388
Botswana,330638,2801
Brazil,38743918,711380
British Virgin Islands,7392,64
Brunei,343719,225
Bulgaria,1339851,38748
Burkina Faso,22114,400
Burundi,54721,38
Cabo Verde,64477,417
Cambodia,139103,3056
Cameroon,125379,1974
Canada,4946090,59034
Caribbean Netherlands,11682,38
Cayman Islands,31472,37
Central African Republic,15440,113
Chad,7701,194
Channel Islands,101717,228
Chile,5384853,64497
China,503302,5272
Colombia,6400173,143200
Comoros,9109,161
Congo,25375,386
Cook Islands,7203,2
Costa Rica,1238883,9428
Croatia,1309728,18687
Cuba,1115251,8530
Curaçao,45986,295
Cyprus,681110,1365
Czechia,4759041,43517
Côte d'Ivoire,88384,835
DRC,99338,1468
Denmark,3183756,8814
Diamond Princess,712,13
Djibouti,15690,189
Dominica,16038,74
Dominican Republic,675890,4384
Ecuador,1070188,36043
Egypt,516023,24613
El Salvador,201855,4230
Equatorial Guinea,17229,183
Eritrea,10189,103
Estonia,628070,3001
Ethiopia,501157,7574
Falkland Islands (Malvinas),1930,0
Faroe Islands,34658,28
Fiji,69117,885
Finland,1516117,11958
France,40138560,167642
French Guiana,98041,420
French Polynesia,79254,650
Gabon,49051,307
Gambia,12626,372
Georgia,1861665,17132
Germany,38828995,183027
Ghana,171889,1462
Gibraltar,20550,113
Greece,6101379,37869
Greenland,11971,21
Grenada,19693,238
Guadeloupe,203235,1021
Guatemala,1291293,20289
Guinea,38572,468
Guinea-Bissau,9614,177
Guyana,74137,1300
Haiti,34667,860
Holy See (Vatican City State),29,0
Honduras,474590,11165
Hong Kong,2937609,14924
Hungary,2230232,49048
Iceland,209906,229
India,45035393,533570
Indonesia,6829221,162063
Iran,7627186,146811
Iraq,2465545,25375
Ireland,1734582,9491
Isle of Man,38008,116
Israel,4841772,12707
Italy,26723249,196487
Jamaica,156869,3756
Japan,33803572,74694
Jordan,1746997,14122
Kazakhstan,1411831,13848
Kenya,344130,5689
Kiribati,5085,24
Kuwait,667158,2570
Kyrgyzstan,206897,2991
Lao People's Democratic Republic,218970,758
Latvia,982505,6715
Lebanon,1243838,10952
Lesotho,36138,723
Liberia,8090,295
Libyan Arab Jamahiriya,507274,6437
Liechtenstein,21574,94
Lithuania,1397806,9897
Luxembourg,391232,1232
MS Zaandam,9,2
Macao,27673,123
Macedonia,350567,9976
Madagascar,68486,1426
Malawi,89535,2686
Malaysia,5278406,37348
Maldives,186694,316
Mali,33164,743
Malta,121420,885
Marshall Islands,16138,17
Martinique,230354,1102
Mauritania,63848,997
Mauritius,43025,1051
Mayotte,42027,188
Mexico,7702809,334958
Micronesia,26547,65
Moldova,635145,12218
Monaco,17181,67
Mongolia,1011496,2284
Montenegro,296542,2846
Montserrat,1403,8
Morocco,1278992,16303
Mozambique,233731,2250
Myanmar,641873,19495
N. Korea,4772813,74
Namibia,172389,4106
Nauru,5393,1
Nepal,1003450,12031
Netherlands,8635786,22992
New Caledonia,80064,314
New Zealand,2621111,5697
Nicaragua,18491,225
Niger,9931,312
Nigeria,267188,3155
Niue,1059,0
Norway,1509732,6638
Oman,399449,4628
Pakistan,1581936,30664
Palau,6290,10
Palestine,621008,5404
Panama,1059893,8727
Papua New Guinea,46864,670
Paraguay,837602,20155
Peru,4572667,222161
Philippines,4140383,66864
Poland,6661991,120598
Portugal,5643062,28126
Qatar,514524,690
Romania,3529735,68929
Russia,24124215,402756
Rwanda,133518,1468
Réunion,494595,921
S. Korea,34571873,35934
Saint Helena,2166,0
Saint Kitts and Nevis,6607,48
Saint Lucia,30215,410
Saint Martin,12324,63
Saint Pierre Miquelon,3452,2
Saint Vincent and the Grenadines,9674,124
Samoa,17006,31
San Marino,26185,128
Sao Tome and Principe,6778,80
Saudi Arabia,841469,9646
Senegal,89053,1971
Serbia,2615054,18057
Seychelles,51220,172
Sierra Leone,7779,126
Singapore,3006155,2024
Sint Maarten,11051,92
Slovakia,1877605,21224
Slovenia,1356546,7100
Solomon Islands,25954,199
Somalia,27334,1361
South Africa,4076463,102595
South Sudan,18819,147
Spain,13914811,121760
Sri Lanka,672754,16897
St. Barth,5507,6
Sudan,63993,5046
Suriname,82588,1408
Swaziland,75191,1427
Sweden,2754129,27407
Switzerland,4453053,14452
Syrian Arab Republic,57743,3165
Taiwan,10241523,19005
Tajikistan,17786,125
Tanzania,43223,846
Thailand,4770149,34586
Timor-Leste,23460,138
Togo,39572,290
Tokelau,80,0
Tonga,16950,13
Trinidad and Tobago,191496,4390
Tunisia,1153361,29423
Turkey,17232066,102174
Turks and Caicos Islands,6752,40
Tuvalu,2943,1
UAE,1067030,2349
UK,24910387,232112
USA,111820082,1219487
Uganda,172149,3632
Ukraine,5557995,112418
Uruguay,1041111,7664
Uzbekistan,253662,1637
Vanuatu,12019,14
Venezuela,552695,5856
Vietnam,11625195,43206
Wallis and Futuna,3550,8
Western Sahara,10,1
Yemen,11945,2159
Zambia,349304,4069
Zimbabwe,266359,5740
